Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,0.056615,0.057808,0.049869,0.050167,0.050167,2356982022
2021-02-26,0.050138,0.052472,0.048708,0.050480,0.050480,1694323466
2021-02-27,0.050500,0.051920,0.049297,0.050083,0.050083,1286229526
2021-02-28,0.050097,0.050134,0.045088,0.048052,0.048052,1408101260
2021-03-01,0.048070,0.051479,0.048029,0.050599,0.050599,1494427207
2021-03-02,0.050596,0.052382,0.049299,0.050262,0.050262,1346282318
2021-03-03,0.050278,0.052126,0.050078,0.050592,0.050592,1093877445
2021-03-04,0.050587,0.051087,0.047879,0.050048,0.050048,1170617084
2021-03-05,0.050028,0.050854,0.048147,0.049609,0.049609,1173113591
2021-03-06,0.049601,0.052397,0.049383,0.050984,0.050984,1480482384
2021-03-07,0.050980,0.052141,0.050572,0.052122,0.052122,945455832
2021-03-08,0.052123,0.061949,0.051672,0.061949,0.061949,3554150800
2021-03-09,0.062104,0.062268,0.056051,0.057998,0.057998,2466159943
2021-03-10,0.057964,0.058616,0.054692,0.056004,0.056004,1534489620
2021-03-11,0.055977,0.056698,0.054502,0.055918,0.055918,1233383425
2021-03-12,0.055921,0.056980,0.054513,0.055349,0.055349,1287767221
2021-03-13,0.055353,0.062432,0.054756,0.062432,0.062432,1869833076
2021-03-14,0.062384,0.063052,0.058592,0.058592,0.058592,2752132530
2021-03-15,0.058531,0.059689,0.055141,0.057088,0.057088,1738710876
2021-03-16,0.057086,0.058921,0.055493,0.058607,0.058607,1393771913
2021-03-17,0.058610,0.058866,0.056471,0.057653,0.057653,861926643
2021-03-18,0.057640,0.058828,0.054143,0.057383,0.057383,909777445
2021-03-19,0.057377,0.059721,0.056604,0.058328,0.058328,964747809
2021-03-20,0.058315,0.060639,0.058120,0.058961,0.058961,1012934488
2021-03-21,0.058970,0.059521,0.056798,0.057234,0.057234,759592996
2021-03-22,0.057259,0.057732,0.054909,0.054962,0.054962,696918565
2021-03-23,0.054941,0.056081,0.052940,0.053556,0.053556,1040781777
2021-03-24,0.053528,0.056494,0.051242,0.051702,0.051702,934537959
2021-03-25,0.051699,0.052407,0.049697,0.051448,0.051448,1084214116
2021-03-26,0.051433,0.054028,0.051331,0.053952,0.053952,776280028
2021-03-27,0.053940,0.055435,0.053528,0.054377,0.054377,753844053
2021-03-28,0.054381,0.054752,0.053013,0.053698,0.053698,460472975
2021-03-29,0.053678,0.054651,0.053175,0.054052,0.054052,537919140
2021-03-30,0.054052,0.055434,0.053697,0.053900,0.053900,728906171
2021-03-31,0.053902,0.054468,0.052269,0.053657,0.053657,653389282
2021-04-01,0.053655,0.070111,0.053644,0.061986,0.061986,5816046822
2021-04-02,0.061968,0.062249,0.057333,0.057664,0.057664,2166925111
2021-04-03,0.057658,0.059484,0.055804,0.055804,0.055804,1136931403
2021-04-04,0.055776,0.058107,0.055295,0.057404,0.057404,938035097
2021-04-05,0.057411,0.060153,0.056435,0.059696,0.059696,1513832721
2021-04-06,0.059689,0.065050,0.058094,0.064458,0.064458,2608613912
2021-04-07,0.064454,0.067299,0.057641,0.059028,0.059028,2857060849
2021-04-08,0.059036,0.061745,0.058817,0.061464,0.061464,1055257541
2021-04-09,0.061463,0.063910,0.060296,0.061684,0.061684,1060465774
2021-04-10,0.061591,0.065068,0.060818,0.063845,0.063845,1369793118
2021-04-11,0.063749,0.079243,0.063203,0.074649,0.074649,6646627317
2021-04-12,0.074544,0.074986,0.068889,0.070767,0.070767,2687720380
2021-04-13,0.070678,0.095181,0.070678,0.093445,0.093445,7176815090
2021-04-14,0.094256,0.142510,0.092452,0.121517,0.121517,20977679327
2021-04-15,0.121167,0.187326,0.120736,0.182207,0.182207,17916620386
2021-04-16,0.181587,0.437700,0.180488,0.365870,0.365870,69410680685
2021-04-17,0.366098,0.374455,0.236524,0.284173,0.284173,31413404067
2021-04-18,0.285105,0.349918,0.246440,0.320475,0.320475,23464350388
2021-04-19,0.320466,0.431751,0.309080,0.407318,0.407318,30641432779
2021-04-20,0.385268,0.421534,0.352442,0.362139,0.362139,25437431808
